Ticker,close,date,high,low,month,open,volume,sector
TATAMOTORS,841.0,2024-01-29 05:30:00,843.8,811.05,2024-01,811.85,12823686,AUTOMOBILES
TATAMOTORS,858.85,2024-01-30 05:30:00,885.95,842.85,2024-01,843.0,19734613,AUTOMOBILES
TATAMOTORS,884.2,2024-01-31 05:30:00,896.5,865.2,2024-01,865.2,24562392,AUTOMOBILES
TATAMOTORS,878.5,2024-02-01 05:30:00,900.15,876.3,2024-02,900.0,14505885,AUTOMOBILES
TATAMOTORS,878.75,2024-02-02 05:30:00,895.75,876.85,2024-02,886.0,13003437,AUTOMOBILES
TATAMOTORS,926.8,2024-02-05 05:30:00,950.0,915.35,2024-02,934.0,38686871,AUTOMOBILES
TATAMOTORS,939.55,2024-02-06 05:30:00,941.3,928.4,2024-02,936.4,12714803,AUTOMOBILES
TATAMOTORS,933.8,2024-02-07 05:30:00,944.0,928.05,2024-02,944.0,7913010,AUTOMOBILES
TATAMOTORS,924.3,2024-02-08 05:30:00,939.7,918.8,2024-02,937.0,11576253,AUTOMOBILES
TATAMOTORS,915.0,2024-02-09 05:30:00,927.4,906.05,2024-02,926.0,7904881,AUTOMOBILES
TATAMOTORS,911.6,2024-02-12 05:30:00,925.0,908.0,2024-02,916.1,7286778,AUTOMOBILES
TATAMOTORS,906.9,2024-02-13 05:30:00,919.1,894.0,2024-02,911.6,8574218,AUTOMOBILES
TATAMOTORS,918.3,2024-02-14 05:30:00,919.95,894.35,2024-02,900.0,6570939,AUTOMOBILES
TATAMOTORS,920.55,2024-02-15 05:30:00,927.0,916.35,2024-02,923.7,6430799,AUTOMOBILES
TATAMOTORS,938.6,2024-02-16 05:30:00,948.8,924.1,2024-02,925.0,12826164,AUTOMOBILES
TATAMOTORS,932.6,2024-02-19 05:30:00,942.95,931.05,2024-02,942.95,4632214,AUTOMOBILES
TATAMOTORS,926.35,2024-02-20 05:30:00,934.65,920.4,2024-02,934.45,4733639,AUTOMOBILES
TATAMOTORS,921.05,2024-02-21 05:30:00,937.2,916.5,2024-02,926.35,6011018,AUTOMOBILES
TATAMOTORS,932.3,2024-02-22 05:30:00,933.85,914.6,2024-02,924.65,6437014,AUTOMOBILES
TATAMOTORS,937.4,2024-02-23 05:30:00,939.8,929.4,2024-02,933.1,7047473,AUTOMOBILES
TATAMOTORS,936.95,2024-02-26 05:30:00,945.0,930.7,2024-02,937.1,5600234,AUTOMOBILES
TATAMOTORS,962.7,2024-02-27 05:30:00,965.0,935.5,2024-02,936.75,12810206,AUTOMOBILES
